date,股票代码,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,MA5,MA10,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower
2024-01-02,000001,1368.04,1345.53,1371.79,1345.53,1158366,1075742252.45,1.92,-1.65,-22.51,0.6,,,,,,0.0,0.0,0.0,,,
2024-01-03,000001,1343.03,1344.28,1346.78,1338.03,733610,673673613.54,0.65,-0.09,-1.25,0.38,,,,,,-0.09971509971501291,-0.019943019943002585,-0.07977207977201033,,,
2024-01-04,000001,1343.03,1333.03,1343.03,1329.28,864194,787470082.37,1.02,-0.84,-11.25,0.45,,,,,,-1.0741390086120646,-0.23078221767681498,-0.8433567909352496,,,
2024-01-05,000001,1331.78,1353.03,1374.29,1328.03,1991622,1852659692.14,3.47,1.5,20.0,1.03,,,,,,-0.22989404824784287,-0.23060458379102056,0.0007105355431776816,,,
2024-01-08,000001,1348.03,1338.03,1356.79,1333.03,1121156,1029006548.73,1.76,-1.11,-15.0,0.58,1342.78,,,,,-0.7624098878686709,-0.33696564460655065,-0.42544424326212027,,,
2024-01-09,000001,1339.28,1341.78,1343.03,1330.53,766194,700375720.2,0.93,0.28,3.75,0.39,1342.03,,,,,-0.8717894216129025,-0.443930400007821,-0.4278590216050815,,,
2024-01-10,000001,1339.28,1330.53,1343.03,1330.53,858621,783771150.01,0.93,-0.84,-11.25,0.44,1339.28,,,,,-1.8449866127618861,-0.7241416425586341,-1.120844970203252,,,
2024-01-11,000001,1329.28,1340.53,1346.78,1323.03,934686,853890237.29,1.79,0.75,10.0,0.48,1340.78,,,,,-1.7887167583883183,-0.937056665724571,-0.8516600926637473,,,
2024-01-12,000001,1335.53,1343.03,1353.03,1333.03,772582,711018266.07,1.49,0.19,2.5,0.4,1338.78,,,,,-1.5248162541536203,-1.0546085834103809,-0.47020767074323944,,,
2024-01-15,000001,1339.28,1345.53,1355.53,1335.53,745133,685950951.45,1.49,0.19,2.5,0.38,1340.28,1341.53,,,,-1.1012495769996349,-1.0639367821282317,-0.037312794871403154,,,
