项目,列2,列3,列4,列5,2019,列7
□ 适用 √ 不适,用,,,,,
研发投入资本化率,大幅变动,的原因及其合理性说明,,,,
□ 适用 √ 不适,用,,,,,
5、现金流,,,,,,
,,,,,单,位：元
项目,,2019年,,2018年,同比,增减
经营活动现金流入小,计,"6,908,174,977.",79,"6,224,177,566.4",0,10.99%
经营活动现金流出小,计,"6,516,784,620.",19,"5,735,064,899.2",0,13.63%
经营活动产生的现金,流量净额,"391,390,357.",60,"489,112,667.2",0,-19.98%
投资活动现金流入小,计,"189,393,455.",43,"610,614,007.2",1,-68.98%
投资活动现金流出小,计,"746,784,321.",24,"926,951,400.6",7,-19.44%
投资活动产生的现金,流量净额,"-557,390,865.",81,"-316,337,393.4",6,76.20%
筹资活动现金流入小,计,"140,000,000.",00,"70,000,000.0",0,100.00%
筹资活动现金流出小,计,"205,361,096.",49,"130,786,347.6",2,57.02%
筹资活动产生的现金,流量净额,"-65,361,096.",49,"-60,786,347.6",2,7.53%
现金及现金等价物净,增加额,"-231,363,596.",91,"112,424,633.2",6,-305.79%
相关数据同比发生,重大变动,的主要影响因素说明,,,,
√ 适用 □ 不适,用,,,,,
投资活动现金,流入小计,减少68.98%，主要是本期,银,行理财产品到期收,回较上年,同期减
少所致；,,,,,,
投资活动产生,的现金流,量净额增加76.2%，主要,是投,资支付、购置固定,资产、无,形资产
和其他长期资产支,付的现金,减少所致；,,,,
筹资活动现金,流入小计,增加 100%，主要是取得,借款,收到的现金增加所,致；,
筹资活动现金,流出小计,增加 57.02%，主要是偿,还债,务支付的现金增加,所致；,
现金及现金等,价物净增,加额减少 305.78%，主要,是,回购股份、归还银,行借款、,分派股
利增加所致。,,,,,,
报告期内公司经营,活动产生,的现金净流量与本年度净,利润,存在重大差异的,原因说明,
□ 适用 √ 不适,用,,,,,
三、非主营业务分,析,,,,,
√ 适用 □ 不适,用,,,,,
,,,,,单,位：元
,金额,占利润总额比例,形成,原因说明,是否具有,可持续性
