项目,列2,列3
投资活动现金流出小计,"641,111,867.27","642,828,993.18"
投资活动产生的现金流量净额,"-416,738,329.67","46,508,957.17"
三、筹资活动产生的现金流量：,,
吸收投资收到的现金,,
取得借款收到的现金,"140,000,000.00","70,000,000.00"
收到其他与筹资活动有关的现金,,
筹资活动现金流入小计,"140,000,000.00","70,000,000.00"
偿还债务支付的现金,"140,000,000.00","70,000,000.00"
分配股利、利润或偿付利息支付,,
,"27,591,949.13","19,916,607.88"
的现金,,
支付其他与筹资活动有关的现金,"36,243,733.63","39,987,201.41"
筹资活动现金流出小计,"203,835,682.76","129,903,809.29"
筹资活动产生的现金流量净额,"-63,835,682.76","-59,903,809.29"
四、汇率变动对现金及现金等价物的,,
,"-1,992.21","435,707.14"
影响,,
五、现金及现金等价物净增加额,"-127,683,364.39","112,863,424.83"
加：期初现金及现金等价物余额,"609,326,147.93","496,462,723.10"
六、期末现金及现金等价物余额,"481,642,783.54","609,326,147.93"
