项目,审批程序,备注
①新金融工具准则,本公司于2019年4月8日召开的第六届,批准自2019年1月1日起执行新金融工
①新金融工具准则,本公司于2019年4月8日召开的第六届,具准则，对会计政策相关内容进行了调
,董事会第二十六次会议通过；,整。
,本公司于 2019 年 8 月 20 日召开第,本集团对2019年1月1日新发生的债务
②新债务重组准则,七届董事会第三次会议和第七届监事会,重组采用未来适用法处理，对2019年1
,第三次会议审议通过了《关于会计政策,月1日以前发生的债务重组不进行追溯
,变更的议案》；,调整。
,本公司于 2019 年 8 月 20 日召开第,本集团对2019年1月1日以后新发生的
③新非货币性交换准则,七届董事会第三次会议和第七届监事会,非货币性资产交换交易采用未来适用法
,第三次会议审议通过了《关于会计政策,处理，对2019年1月1日以前发生的非
,变更的议案》；,货币性资产交换交易不进行追溯调整。
④财务报表格式,本公司于 2019 年 8 月 20 日召开第,财务报表格式的修订对本公司的资产总
④财务报表格式,七届董事会第三次会议和第七届监事会,财务报表格式的修订对本公司的资产总
,第三次会议审议通过了《关于会计政策,额、负债总额、净利润、其他综合收益
,变更的议案》；,等无影响。
