项目,股本,"809,664,717.00","809,664,717.00_2",列5
,其他权益工具,,,
,其中：优先股,,,
,永续债,,,
,资本公积,"289,844,568.41","289,844,568.41",
,减：库存股,"41,553,639.06","41,553,639.06",
,其他综合收益,,,
,专项储备,,,
,盈余公积,"56,604,057.76","56,604,057.76",
,未分配利润,"267,339,055.87","267,339,055.87",
所有,"1,381,898,759,981",,"381,898,759.98",
负债,"3,604,201,806,113",,"604,201,806.11",
调整,情况说明,,,
（4,）2019年起执行新金融工具准则或,新租赁准则追溯调整前期比,较数据说明,
√ 适,用 □ 不适用,,,
于2,019年1月1日，金融资产按照原,金融工具准则和新金融,工具准则的规定进行分类和计量,
的结,果对比如下：,,,
,原金融工,具准则,新金融工具准则,
,项 目 类,别 账面价,值 项 目 类别,账面价值
可供,出售金融资产 以成本计量,（权益工具）,"10,000.00 其他非流动金融资产 以公允价值计量且其变动计","10,000.00"
,,,入当期损益,
应收,票据 摊余成本,"11,5","66,957.51 应收款项融资 以公允价值计量且其变动计","11,566,957.51"
,,,入其他综合收益,
应收,账款 摊余成本,"368,9","23,512.08 应收账款 摊余成本","368,923,512.08"
其他,应收款 摊余成本,"54,2","79,480.65 其他应收款 摊余成本","54,279,480.65"
其他,流动资产 摊余成本,"70,0","00,000.00 交易性金融资产 以公允价值计量且其变动计","70,000,000.00"
,,,入当期损益,
于2,019年1月1日，执行新金融工具,准则时金融工具分类和,账面价值调节表如下：,
,项 目 调整前账,面金额 重分类,重新 调整后账面金额,
,（2018年12,月31日）,计量 （2019年1月1日）,
资产,：,,,
交易,性金融资产,"70,000,000.0","0 70,000,000.00",
应收,票据 11,",566,957.51 -11,566,957.5",1,
应收,账款 368,",923,512.08","368,923,512.08",
应收,款项融资,"11,566,957.5","1 11,566,957.51",
其他,应收款 54,",279,480.65","54,279,480.65",
其他,流动资产 160,",423,573.78 -70,000,000.0","0 90,423,573.78",
可供,出售金融资产,"10,000.00 -10,000.0",0,
