项目,列2,列3,2019
（12）,存货期末余额含有借款费用资,本化金额的说明,
（13）,期末建造合同形成的已完工未,结算资产情况,
,项目,,单位： 元
,项目,,金额
其他说,明：,,
10、合,同资产,,
合同资,项目,期末余额,单位： 元
合同资,账面余额,减值准备 账面价值,期初余额
合同资,产的账面价值在本期内发生的重大变,动金额和原因：,账面余额 减值准备 账面价值
合同资,项目 变动,金额,单位： 元
合同资,,,变动原因
如是按,照预期信用损失一般模型计提合同资,产坏账准备，请参照其他应收款,的披露方式披露坏账准备的相关信息：
□ 适用,√ 不适用,本期转回,单位： 元
本期合,同资产计提减值准备情况,,本期转销/核销 原因
其他说,项目 本期计提,,
,明：,,
11、持,有待售资产,,
项,目 期末账面余额 减值,准备 期末账面价值 公,单位： 元
持有待,售处置组,准备 期末账面价值 公,允价值 预计处置费用 预计处置时间
中的资,产（郑州,"167,714,027.24",2020年01月0
全生农,"167,714,027.24","167,714,027.24",日
限公司,牧科技有,,--
合计,）,,
,"167,714,027.24",,
其他说,明：,层因战略调整决定将子,公司郑州全生农牧科技有限公司出
说明,：2019年11月，本集团管理,层因战略调整决定将子,公司郑州全生农牧科技有限公司出
售。上,述拟出售的子公司郑州全生,农牧科技有限公司作为,持有待售的处置组列报，截止2019
年12,月31日尚未完成相关交割手,续。,
12、一,年内到期的非流动资产,,
,项目,期末余额,单位： 元
,项目,期末余额,期初余额
