项目,列2,列3,"1,675,536,007.97",列5,"1,648,844,313.59"
合计,,,"1,675,536,007.97",,"1,648,844,313.59"
（1）固定资产情况,,,,,
,,,,,单位： 元
项目,房屋及建筑物,机器设备,运输设备 电子,设备及其他,合计
一、账面原值：,,,,,
1.期初余额,"1,131,309,041.22","1,018,292,354.11","29,929,676.88","336,130,713.49","2,515,661,785.70"
2.本期增加金额,"68,385,108.67","81,952,794.28","1,898,975.47","100,252,296.93","252,489,175.35"
（1）购置,"4,425,648.20","81,952,794.28","1,898,975.47","100,252,296.93","188,529,714.88"
（2）在建工程,,,,,
转入,"63,959,460.47",,,,"63,959,460.47"
（3）企业合并,,,,,
增加,,,,,
3.本期减少金额,"42,753,220.62","69,019,276.54","3,571,933.17","32,390,389.90","147,734,820.23"
（1）处置或报,,,,,
废,"585,500.00","54,166,179.55","2,245,594.76","31,185,296.39","88,182,570.70"
（2）其他减,,,,,
少,"42,167,720.62","14,853,096.99","1,326,338.41","1,205,093.51","59,552,249.53"
4.期末余额,"1,156,940,929.27","1,031,225,871.85","28,256,719.18","403,992,620.52","2,620,416,140.82"
二、累计折旧,,,,,
1.期初余额,"155,496,946.05","435,636,889.56","22,588,805.70","205,012,377.23","818,735,018.54"
2.本期增加金额,"25,716,693.34","65,713,334.53","1,934,963.85","38,489,039.47","131,854,031.19"
（1）计提,"25,716,693.34","64,845,606.30","1,934,963.85","38,485,090.13","130,982,353.62"
（2）其他增,,,,,
加,,"867,728.23",,"3,949.34","871,677.57"
3.本期减少金额,"10,392,674.14","36,711,590.03","3,086,971.56","8,955,764.01","59,146,999.74"
（1）处置或报,,,,,
废,"232,170.76","29,540,973.66","2,123,584.46","8,010,588.07","39,907,316.95"
（2）其他减,,,,,
少,"10,160,503.38","7,170,616.37","963,387.10","945,175.94","19,239,682.79"
