项目,"170,820,965.25","464,638,634.06","21,436,797.99","234,545,652.69","891,442,049.99"
三、减值准备,,,,,
1.期初余额,,"47,730,784.71",,"351,668.86","48,082,453.57"
2.本期增加金额,"433,957.24","11,649,600.24",,"939,709.97","13,023,267.45"
（1）计提,"433,957.24","11,649,600.24",,"939,709.97","13,023,267.45"
3.本期减少金额,"4,324.40","7,468,309.10","20,334.35","174,670.31","7,667,638.16"
（1）处置或报,,,,,
废,"4,324.40","7,468,309.10","20,334.35","174,670.31","7,667,638.16"
（2）其他减,,,,,
少,,,,,
4.期末余额,"429,632.84","51,912,075.85","-20,334.35","1,116,708.52","53,438,082.86"
四、账面价值,,,,,
1.期末账面价值,"985,690,331.18","514,675,161.94","6,840,255.54","168,330,259.31","1,675,536,007.97"
2.期初账面价值,"975,812,095.17","534,924,679.84","7,340,871.18","130,766,667.40","1,648,844,313.59"
