项目,"52,354,428.98 73,560,571.24",列3,列4
2024年,"44,238,388.96",,
合计,"217,540,178.88 298,224,027.42",--,
其他说明：,,,单位： 元
31、其他非流动资产,,,单位： 元
是否已执行新收入准则,,,单位： 元
□ 是 √ 否,,,单位： 元
项目,期末余额,期初余额,
预付工程款,"42,760,291.45",4,"1,670,127.09"
预付软件款,"1,680,000.00",,"1,676,000.00"
合计,"44,440,291.45",4,"3,346,127.09"
其他说明：,,,单位： 元
32、短期借款,,,单位： 元
（1）短期借款分类,,,单位： 元
项目,期末余额,期初余额,
信用借款,"70,070,000.00",7,"0,000,000.00"
合计,"70,070,000.00",7,"0,000,000.00"
短期借款分类的说明：,中重要的已逾期未偿还的短期借款情况如下：,,单位： 元
（2）已逾期未偿还的短期借款情况,中重要的已逾期未偿还的短期借款情况如下：,,单位： 元
本期末已逾期未偿还的短期借款总额为元，其,中重要的已逾期未偿还的短期借款情况如下：,,单位： 元
借款单位 期末余额,借款利率 逾期时间,逾期,利率
其他说明：,,,单位： 元
33、交易性金融负债,,,单位： 元
项目,期末余额,期初余额,
其中：,,,
其中：,,,
其他说明：,,,单位： 元
34、衍生金融负债,,,单位： 元
项目,期末余额,期初余额,
