项目,期初余额,列3
银行承兑汇票,"40,000,000.00","83,300,000.00"
合计,"40,000,000.00","83,300,000.00"
本期末已到期未支付的应付票据总额为元。,,单位： 元
36、应付账款,,单位： 元
（1）应付账款列示,,单位： 元
项目 期末余额,期初余额,
货款,"813,017,263.13","920,875,635.90"
工程款,"20,369,214.97","30,390,176.40"
其他,"449,842,986.54","204,738,004.51"
合计,"1,283,229,464.64","1,156,003,816.81"
（2）账龄超过1年的重要应付账款,,单位： 元
项目 期末余额,未偿还或结转,的原因
供应商1,"2,103,287.00 尚未结算",
供应商2,"6,139,267.91 尚未结算",
合计,"8,242,554.91 --",
其他说明：,,单位： 元
37、预收款项,,单位： 元
是否已执行新收入准则,,单位： 元
□ 是 √ 否,,单位： 元
（1）预收款项列示,,单位： 元
项目 期末余额,期初余额,
货款,"837,628,396.20","626,153,307.54"
合计,"837,628,396.20","626,153,307.54"
