项目,期初余额,本期增加,本期减少,期末余额
1、工资、奖金、津贴和,,,,
补贴,"44,785,664.87","982,165,947.95","945,387,177.24","81,564,435.58"
2、职工福利费,,"36,722,332.06","36,722,332.06",
3、社会保险费,"41,507.22","28,731,608.31","28,533,624.98","239,490.55"
其中：医疗保险费,"32,379.92","25,075,467.44","24,907,447.68","200,399.68"
工伤保险费,"2,681.38","1,121,978.65","1,113,826.04","10,833.99"
生育保险费,"6,445.92","2,534,162.22","2,512,351.26","28,256.88"
4、住房公积金,"125,999.48","7,719,427.44","7,216,639.96","628,786.96"
5、工会经费和职工教育,,,,
经费,"68,967,177.63","9,557,322.90","1,106,784.39","77,417,716.14"
其他短期薪酬,"275,149.30",,,"275,149.30"
合计,"114,195,498.50","1,064,896,638.66","1,018,966,558.63","160,125,578.53"
