项目,列2,"49,4",65.05,列5,2019,"133,649.45"
其他说明，包括重要的超过1年未支付的应付股利，应披,露未支付,"49,4",65.05,,,"133,649.45"
其他说明，包括重要的超过1年未支付的应付股利，应披,露未支付,原因：,65.05,,,"133,649.45"
（3）其他应付款,,,,,,
1）按款项性质列示其他应付款,,,,,,
项目,期末余额,"212,908,0",02.86,,期初余额,单位： 元
保证金及押金,期末余额,"212,908,0",02.86,,期初余额,"179,387,234.82"
往来款,期末余额,"212,908,0",02.86,,期初余额,
限制性股票回购义务,,"11,903,",113.79,,,"14,310,560.60"
其他,,"19,986,",497.81,,,"14,589,594.82"
合计,,"244,797,6",14.46,,,"20,062,655.80"
,,,,,,"228,350,046.04"
2）账龄超过1年的重要其他应付款,,,,,,
项目,期末余额,"1,000,0",00.00,未偿,还或结转的,单位： 元
单位1,期末余额,"1,000,0",00.00,保证金,还或结转的,原因
单位2,,"500,0",00.00,保证金,--,
合计,,"1,500,0",00.00,保证金,--,
其他说明,,,,保证金,--,
42、持有待售负债,,,,,,
项目,期末余额,"132,616,7",23.58,,期初余额,单位： 元
持有待售的处置组中的负债（郑州全生,期末余额,"132,616,7",23.58,,期初余额,单位： 元
农牧科技有限公司）,调整决定,"132,616,7",23.58,州全生农牧,科技有,限公司出
合计,调整决定,将子,公司郑,州全生农牧,科技有,限公司出
其他说明：,调整决定,,,州全生农牧,科技有,限公司出
说明：2019年11月，本集团管理层因战略,调整决定,,,州全生农牧,科技有,限公司出
售。上述拟出售的子公司郑州全生农牧科技,有限公,司作为,持有,待售的处置,组列报,，截止2019
年12月31日尚未完成相关交割手续。,,,,,,
43、一年内到期的非流动负债,,,,,,
项目,期末余额,,,,期初余额,单位： 元
一年内到期的长期应付款,期末余额,,,,期初余额,单位： 元
