项目,列2,单位：
项目,期末余额,期初余额
其他说明,,单位： 元
48、长期应付款,,单位： 元
项目,期末余额,期初余额
长期应付款,"30,000,","000.00 60,000,000.0"
合计,"30,000,","000.00 60,000,000.0"
（1）按款项性质列示长期应付款,,单位： 元
项目,期末余额,期初余额
国开发展基金有限公司投资,"60,000,","000.00 60,000,000.0"
小计,"60,000,","000.00 60,000,000.0"
减：一年内到期长期应付款,"30,000,",000.00
合 计,"30,000,","000.00 60,000,000.0"
其他说明：,,单位： 元
（2）专项应付款,,单位： 元
项目 期初余额 本期增加,本期减少,期末余额 形成原因
其他说明：,,单位： 元
49、长期应付职工薪酬,,单位： 元
（1）长期应付职工薪酬表,,单位： 元
项目,期末余额,期初余额
（2）设定受益计划变动情况,,单位： 元
设定受益计划义务现值：,,单位： 元
项目,本期发生额,上期发生额
计划资产：,,单位： 元
项目,本期发生额,上期发生额
