项目,2019年,列3,2018年,列5,列6
,,,,占营业收入,同比增减
,金额,占营业收入比重,金额,比重,
营业收入合计,"5,985,722,254.07",100%,"5,539,316,059.52",100%,8.06%
分行业,,,,,
零售等市场,"5,201,732,915.22",86.90%,"4,981,123,026.75",89.92%,4.43%
餐饮市场,"783,989,338.85",13.10%,"558,193,032.77",10.08%,40.45%
分产品,,,,,
汤圆,"1,789,179,066.78",29.89%,"1,587,225,667.45",28.65%,12.72%
水饺,"1,848,480,034.08",30.88%,"1,923,219,264.09",34.72%,-3.89%
粽子,"294,193,108.46",4.91%,"279,328,363.01",5.04%,5.32%
面点及其他,"2,041,715,513.67",34.12%,"1,735,737,316.91",31.34%,17.63%
其他业务,"12,154,531.08",0.20%,"13,805,448.06",0.25%,-11.96%
分地区,,,,,
长江以北,"3,545,920,776.33",59.24%,"3,132,790,133.83",56.56%,13.19%
长江以南,"2,439,801,477.74",40.76%,"2,406,525,925.69",43.44%,1.38%
