项目,列2,列3,列4,2019,列6
"长江以北 3,533,766,245.25 2,317,579,03",8.47,"3,1","18,984,685.77","2,024,29","9,799.33"
"长江以南 2,439,801,477.74 1,562,336,98",5.75,"2,4","06,525,925.69","1,544,58","2,746.17"
"合 计 5,973,567,722.99 3,879,916,02",4.22,"5,5","25,510,611.46","3,568,88","2,545.50"
62、税金及附加,,,,,
项目 本期发生,额,"33,",813.42,上期发生,单位： 元
城市维护建设税,"180,512",,29.30,上期发生,额
教育费附加,"78,221",,78.63,上期发生,"25,875,233.33"
房产税,"7,677",,116.47,上期发生,"11,294,007.21"
土地使用税,"3,4",,,上期发生,"5,478,712.64"
,,,,上期发生,"4,082,049.72"
印花税,"64,128",,38.16,,"4,658,290.89"
其他,551,,114.38,,"874,881.84"
地方教育费附加,"50,682",,00.67,,"7,346,979.66"
合计,"49,016",,491.03,,"59,610,155.29"
其他说明：,,,,,
各项税金及附加的计缴标准详见附注：税项。,,,,,
63、销售费用,,,,,
项目 本期发生,额,"64,3",21.01,上期发生,单位： 元
市场费用,"5,259,127",,17.02,上期发生,额
业务经费,"531,9",,,上期发生,"558,922,745.68"
人员经费,,,,上期发生,"506,617,034.50"
折旧及摊销,"4,745,063",,00.74,,"468,004,267.40"
办公费用,"41,526",,285.27,,"30,265,513.71"
合计,"17,552",,141.31,,"18,707,237.86"
其他说明：,"1,591,4","61,7",65.35,,"1,582,516,799.15"
64、管理费用,,,,,
项目 本期发生,额,"05,",479.13,上期发生,单位： 元
人员经费,"857,851",,37.79,上期发生,额
公司经费,"104,6",,,上期发生,"72,491,881.93"
,,,,上期发生,"83,254,032.30"
折旧及摊销,"18,541",,206.28,,"29,614,138.54"
办公费用,"10,880",,591.40,,"8,279,419.27"
合计,"2,198,124",,14.60,,"193,639,472.04"
其他说明：,,,,,
65、研发费用,,,,,
