项目,本期金额,上期金额
1．将净利润调节为经营活动现金流量：,--,--
净利润,"219,150,711.82","101,493,889.03"
加：资产减值准备,"42,900,754.76","50,124,423.33"
固定资产折旧、油气资产折耗、,,
生产性生物资产折旧,"130,982,353.62","122,193,089.56"
无形资产摊销,"6,060,600.23","6,380,164.82"
处置固定资产、无形资产和其他,,
长期资产的损失（收益以“－”号填列）,"-142,572.79","1,240,346.77"
固定资产报废损失（收益以“－”,,
号填列）,"1,630,350.72","318,666.03"
财务费用（收益以“－”号填列）,"1,705,829.66","2,423,365.01"
投资损失（收益以“－”号填列）,"-1,029,023.23","-8,704,584.11"
递延所得税资产减少（增加以,,
“－”号填列）,"-22,601,594.84","22,408,833.37"
递延所得税负债增加（减少以,,
“－”号填列）,"9,585,079.25","10,261,475.99"
存货的减少（增加以“－”号填列）,"-399,091,493.79","35,394,648.81"
经营性应收项目的减少（增加以,,
“－”号填列）,"105,416,141.21","-21,355,429.68"
经营性应付项目的增加（减少以,,
“－”号填列）,"296,823,220.98","169,084,461.71"
其他,,"-2,150,683.44"
经营活动产生的现金流量净额,"391,390,357.60","489,112,667.20"
2．不涉及现金收支的重大投资和筹资活,,
动：,--,--
3．现金及现金等价物净变动情况：,--,--
现金的期末余额,"568,372,756.33","799,736,353.24"
