项目,种类,期初余额,"本期新增
补助金额","本期结转计
入损益的金
额",其他变动
补助金额入损益的金入损益的列收益相关,,,,,
速动微波炉中式快餐经费,财政拨款,"1,688,000.00",,"422,000.00",
基础设施建设经费,财政拨款,"76,814,147.65",,"1,936,220.19",
速冻调理中式菜肴关键技术研究及,财政拨款,"1,552,000.00",,"388,000.00",
产业化示范,财政拨款,"1,552,000.00",,"388,000.00",
速冻食品冷链建设,财政拨款,"3,888,888.89",,"111,111.12",
技术中心创新能力项目,财政拨款,"2,081,666.72",,"416,333.34",
双百冷链,财政拨款,"1,555,555.56",,"44,444.44",
主食工业化关键技术与装备及其产,财政拨款,"1,616,666.65",,"161,666.67",
业化规范,财政拨款,"1,616,666.65",,"161,666.67",
主食产业化安全控制,财政拨款,"1,800,000.00",,"180,000.00",
关键技术研究,财政拨款,"1,800,000.00",,"180,000.00",
速冻面米食品高效节能与品质提升,财政拨款,"1,500,000.00",,,
关键技术研究及产业化示范,财政拨款,"1,500,000.00",,,
第二批工业技改项目贴息,财政拨款,"1,508,888.86",,"37,722.22",
综合基地项目二期厂房补贴,财政拨款,"1,166,388.90",,"27,444.44",
智汇郑州1125聚才计划,财政拨款,"2,000,000.00","3,500,000.00","1,000,000.00",
2016年工业主导产业设备,财政拨款,"972,711.11",,"121,588.89",
投资奖补,财政拨款,"972,711.11",,"121,588.89",
十三五国家重点研发计划“应急救,财政拨款,"215,000.00","159,700.00",,
灾食品制造关键技术研究与新产品,财政拨款,"215,000.00","159,700.00",,
创制”2017YFD04005,财政拨款,"215,000.00","159,700.00",,
十三五国家重点研发计划“植物性,财政拨款,,"212,000.00",,
预制调理食品制造关键技术及新产,财政拨款,,"212,000.00",,
品研发”2019YFD040,财政拨款,,"212,000.00",,
工业互联网创新发展工程及智能制,财政拨款,"7,560,000.00",,,
造综合标准化与新模式应用,财政拨款,"7,560,000.00",,,
十三五国家重点研发计划“粉体与,财政拨款,"269,900.00","317,642.00",,
不规则固体食品智能包装设备研,财政拨款,"269,900.00","317,642.00",,
发”2019Y,财政拨款,"269,900.00","317,642.00",,
十三五国家重点研发计划“自热副,财政拨款,,"460,000.00",,
食品质精准调控技术研究与产品研,财政拨款,,"460,000.00",,
制”2019,财政拨款,,"460,000.00",,
速冻调理中式菜,财政拨款,"1,120,821.92",,"280,205.48",
政府补贴项目设备近红外光谱仪/,财政拨款,,"500,000.00","3,472.22",
热粘拉力试验机兰光/单翼包装跌,财政拨款,,"500,000.00","3,472.22",
落试验机,财政拨款,,"500,000.00","3,472.22",
郑州市惠济区财政国库支付中心基,财政拨款,"1,612,000.02",,"41,333.33",
础设施建设基金,财政拨款,"1,612,000.02",,"41,333.33",
河南惠济经济开发管理委员会2010,财政拨款,"1,549,166.68",,"39,722.23",
年度产业集聚区奖励资金,财政拨款,"1,549,166.68",,"39,722.23",
河南惠济经济开发区管理委员会,财政拨款,"3,655,686.64",,"93,735.56",
2011年度产业集聚区奖励,财政拨款,"3,655,686.64",,"93,735.56",
水井管道补助款,财政拨款,"800,000.00",,"50,000.00","-750,000.00"
现代畜牧业环境污染治理项目,财政拨款,"833,333.34",,"83,333.33","-750,000.01"
