项目,"5,201,732,915.22","3,310,178,499.44 36.36%",4.43% 5.08%,-0.40%
餐饮市场,"783,989,338.85","570,158,856.23 27.27%",40.45% 35.26%,2.78%
分产品,,,,
汤圆,"1,789,179,066.78","1,050,777,262.55 41.27%",12.72% 13.19%,-0.24%
水饺,"1,848,480,034.08","1,209,458,771.00 34.57%",-3.89% -0.45%,-2.26%
粽子,"294,193,108.46","171,391,947.76 41.74%",5.32% 4.92%,0.22%
面点及其他,"2,041,715,513.67","1,448,288,042.91 29.07%",17.63% 14.74%,1.79%
分地区,,,,
长江以北,"3,545,920,776.33","2,317,579,038.47 34.64%",145.66% 146.84%,-0.31%
长江以南,"2,439,801,477.74","1,562,758,317.20 35.95%",75.25% 74.36%,0.33%
公司主营业务,数据统计口径在,报告期发生调整的情况下，,公司最近 1年按报告期末口,径调
整后的主营业,务数据,大于劳务收入,公司最近 1年按报告期末口,径调
□ 适用 √,不适用,,公司最近 1年按报告期末口,径调
（3）公司实,物销售收入是否,,公司最近 1年按报告期末口,径调
√ 是 □ 否,,,公司最近 1年按报告期末口,径调
行业分类,项目,单位 2019年,2018年 同比增,减
,销售量,"吨 577,","044 565,901",1.97%
销售产品,生产量,"吨 626,","458 569,248",10.05%
,库存量,"吨 197,","023 147,609",33.48%
