项目,"项目 种类 上期计入损益 本期计入损益计入
的金额 的金额","损益的列与
报项目","资产相
收益"
增值,"税退税 35,088,959.26 54,171,509.15",其他收益,与收益
与资,"产相关的政 财政拨款 11,643,595.97 6,250,084.03",其他收益,与资产
府补,助摊销,其他收益,与资产
政府,"扶持奖励 财政拨款 7,857,030.88 24,855,994.48",其他收益,与收益
合,"计 54,589,586.11 85,277,587.66",,
（3,）采用净额法冲减相关成本的政府补助情况,,
补助,项目 种类 上期冲减相关 本期冲减相关 冲减,相关成本,与资产
补助,成本的金额 成本的金额 的,列报项目,与收益
财政,"贴息 财政贴息 1,671,800.00 2,225,400.00",财务费用,与收益
5、,其他,买日的确 购买,日至期
八、,合并范围的变更,买日的确 购买,日至期
、非,同一控制下企业合并,买日的确 购买,日至期
（1）,本期发生的非同一控制下企业合并,买日的确 购买,日至期
被购,买方名 股权取得时 股权取得成 股权取得比 股权取得方 购,买日的确 购买,日至期
,购买日,买日的确 购买,日至期
