项目,列2,列3,列4,列5,列6,列7,列8,列9,列10,2019,列12,列13
（,3）合并日被,合,并方资产、负,债,的账面价值,,,,,,,
,,,,,,,合并日,,,上期期,末,单位： 元
企,业合并中承担的,被,合并方的或有,负债,：,,,,,,,
其,他说明：,被,合并方的或有,负债,：,,,,,,,
3、,反向购买,,,,,,,,,,,
交,易基本信息、交,易,构成反向购买,的依,据、上市公司,保留,的资产、负债是否,构成业,务及其依据,、合并成本,的,确定、按照
权,益性交易处理时,调,整权益的金额,及其,计算：,,,,,,,
4、,处置子公司,,,,,,,,,,,
是,否存在单次处置,对,子公司投资即,丧失,控制权的情形,,,,,,,
□,是 √ 否,对,子公司投资即,丧失,控制权的情形,,,,,,,
是,否存在通过多次,交,易分步处置对,子公,司投资且在本,期丧,失控制权的情形,,,,,
□,是 √ 否,交,易分步处置对,子公,司投资且在本,期丧,失控制权的情形,,,,,
5、,其他原因的,合,并范围变动,,,,,,,,,
说,明其他原因导致,的,合并范围变动,（如,，新设子公司,、清,算子公司等）及其,相关情,况：,,,
为,开拓市场，,本,期本公司,新设,子公司有,食,本鲜（上海）供,应链,管理有,限公司、,武,汉全致食
品,有限公司、,河,南叁伊便,利店,连锁有限,公,司、上海全晟食,品有,限公司,、天津全,润,食品有限
公,司、快厨（,天,津）餐饮,管理,有限公司,、,全盈（苏州）食,品有,限公司,、新设间,接,控股子公
司,郑州有知有,味,互联网科,技有,限公司、,共,青城创智嘉诚投,资合,伙企业,（有限合,伙,）、共青
城,和智信德投,资,合伙企业,（有,限合伙）,、,共青城佳智凯德,投资,合伙企,业（有限,合,伙）、共
青,城健智康鸿,投,资合伙企,业（,有限合伙,）,、共青城润智嘉,慧投,资合伙,企业（有,限,合伙）、
北,京全宝汇商,科,技有限公,司、,全盈（天,津,）食品有限公司,，自,集团外,第三方购,买,郑州智初
信,息技术有限,公,司55%股权,，,成为间接,控,股子公司。期末,，本,公司已,将上述子,公,司纳入合
并,范围。本期,本,公司因处,置共,青城润恒,鸿,展投资管理合伙,企业,（有限,合伙）股,权,份额，而
丧,失对该公司,的,控制权，本,期,合并范围,已,不包含该公司。,,,,,
6、,其他,,,,,,,,,,,
九,、在其他主,体,中的权益,,,,,,,,,
1、,在子公司中,的,权益,,,,,,,,,
（,1）企业集团,的,构成,,,,,,,,,
,子公司名称,,主要经营地,,注册地,,业务性质,直接,持股比例,间接,,取得方式
