项目,基地项目二期厂房补贴,财政拨款,"1,166,388.90",列5,"27,444.44",列7
智汇,郑州1125聚才计划,财政拨款,"2,000,000.00","3,500,000.00","1,000,000.00",
2016,年工业主导产业设备投资奖,财政拨款,"972,711.11",,"121,588.89",
补,年工业主导产业设备投资奖,财政拨款,"972,711.11",,"121,588.89",
十三,五国家重点研发计划“应急,财政拨款,"215,000.00","159,700.00",,
救灾,食品制造关键技术研究与新,财政拨款,"215,000.00","159,700.00",,
产品,创制”2017YFD04005,财政拨款,"215,000.00","159,700.00",,
十三,五国家重点研发计划“植物,财政拨款,,"212,000.00",,
性预,制调理食品制造关键技术及,财政拨款,,"212,000.00",,
新产,品研发”2019YFD040,财政拨款,,"212,000.00",,
工业,互联网创新发展工程及智能,财政拨款,"7,560,000.00",,,
制造,综合标准化与新模式应用,财政拨款,"7,560,000.00",,,
十三,五国家重点研发计划“粉体,财政拨款,"269,900.00","317,642.00",,
与不,规则固体食品智能包装设备,财政拨款,"269,900.00","317,642.00",,
研发”,2019Y,财政拨款,"269,900.00","317,642.00",,
十三,五国家重点研发计划“自热,财政拨款,,"460,000.00",,
副食,品质精准调控技术研究与产,财政拨款,,"460,000.00",,
品研,制”2019,财政拨款,,"460,000.00",,
速冻,调理中式菜,财政拨款,"1,120,821.92",,"280,205.48",
政府,补贴项目设备近红外光谱仪/,财政拨款,,"500,000.00","3,472.22",
热粘,拉力试验机兰光/单翼包装跌,财政拨款,,"500,000.00","3,472.22",
落试,验机,财政拨款,,"500,000.00","3,472.22",
郑州,市惠济区财政国库支付中心,财政拨款,"1,612,000.02",,"41,333.33",
基础,设施建设基金,财政拨款,"1,612,000.02",,"41,333.33",
河南,惠济经济开发管理委员会,财政拨款,"1,549,166.68",,"39,722.23",
2010,年度产业集聚区奖励资金,财政拨款,"1,549,166.68",,"39,722.23",
河南,惠济经济开发区管理委员会,财政拨款,"3,655,686.64",,"93,735.56",
2011,年度产业集聚区奖励,财政拨款,"3,655,686.64",,"93,735.56",
水井,管道补助款,财政拨款,"800,000.00",,"50,000.00","-750,000.00"
现代,畜牧业环境污染治理项目补,财政拨款,"833,333.34",,"83,333.33","-750,000.01"
贴款,畜牧业环境污染治理项目补,财政拨款,"833,333.34",,"83,333.33","-750,000.01"
病死,畜禽无害化项目补贴款,财政拨款,"833,333.34",,"83,333.33","-750,000.01"
规模,养殖场标准化建设项目,财政拨款,"416,666.64",,"41,666.66","-374,999.98"
有机,肥设备,财政拨款,,"2,141,020.51","642,306.15","-1,498,714.36"
贴息,补助,财政拨款,"1,762,962.98",,"44,444.44",
合,计,,"118,773,785.90","7,290,362.51","6,250,084.04","-4,123,714.36"
