项目,"分红年度合并
报表中归属于","现金分红金
额占合并报
表中归属于","以其他
方式
（如回","以其他方式
现金分红金
额占合并报
表中归属于 现金分红总额","现金分红总
额（含其他
方式）占合
并报表中归"
（含税）,上市公司普通,上市公司普,购股,上市公司普 （含其他方式）,属于上市公
（含税）,股股东的净利,通股股东的,份）现,通股股东的,司普通股股
（含税）,润,净利润的比,金分红,净利润的比,东的净利润
（含税）,,率,的金额,例,的比率
"2019年 47,955,493.56","220,021,103.27",21.80%,,"47,955,493.56",21.80%
"2018年 24,054,468.18","101,902,173.25",23.61%,,"24,054,468.18",23.61%
"2017年 16,253,041.96","72,019,165.77",22.57%,,"16,253,041.96",22.57%
公司报告期内盈利且母,公司可供普通,股股东分配,利润为,正但未提出普通股现金红,利分配预
案,,,,,
□ 适用 √ 不适用,,,,,
二、本报告期利润分配,及资本公积金,转增股本情,况,,
√ 适用 □ 不适用,,,,,
每10股送红股数（股）,,,,,0
每10股派息数（元）（含税,）,,,,0.6
每10股转增数（股）,,,,,0
分配预案的股本基数（股）,,,,,799258226
现金分红金额（元）（含税,）,,,4,"7,955,493.56"
以其他方式（如回购股份）,现金分红金额（,元）,,,0.00
现金分红总额（含其他方式,）（元）,,,4,"7,955,493.56"
可分配利润（元）,,,,29,"4,158,997.38"
现金分红总额（含其他方式,）占利润分配总,额的比例,,,100%
,,本次现金分红,情况,,
公司发展阶段属成长期且有,重大资金支出安,排的，进行,利润分配,时，现金分红在本次利润分,配中所占比
例最低应达到20％,,,,,
,利润分配或资,本公积金转增,预案的详,细情况说明,
经致同会计师事务所（特殊,普通合伙）出具,的（致同审,字(2020),第410ZA4373号）审计报告,确认，2019
"年度母公司实现净利润56,","527,121.88元，",提取10%法定,盈余公,"积金5,652,712.19元，加年初",未分配利润
"267,339,055.87元，减去已",分配的2018年现,"金红利24,05","4,468.1",8元，可供分配的利润为294,",158,997.38"
元。依据《公司法》和《公,司章程》及国家,有关规定，按,以下预,案进行分配：拟以2019年度,利润分配方
