项目,2018年第二,次临时股,东大会审议,通过。2018年11月28日,，公司公告了《回购报
告书》（公,告编号：2,018-066）,。,,
（2）2,018年11月,29日，公司,首次通过股,票回购专用证券账户以,集中竞价交易方式回购
股份。,,,,,
（3）,截至2019年,3月31日，,公司累计回,"购股份数量为7,590,21",1股，占公司总股本的
0.9375%，,最高成交价,为7.90元/,股，最低成,交价5.84元/股，成交总,"金额为50,291,290.08"
元（不含交,易费用）。,公司已按,披露的回购,方案完成回购，本次回,购股份符合公司股份回
购方案及相,关法律法规,的要求，,本次回购股,份方案实施完毕。具体内,容详见公司于2019年4
月2日披露,的《关于实,施回购公司,股份的进展,暨股份回购完成公告》（,公告编号：2019-011）。
（4）,公司已于20,19年4月11,日在中国证,券登记结算有限责任公,司深圳分公司办理完毕
"上述7,590,",211股回购,股份注销手,续。具体,内容详见公司于2019年4,月13日披露的《关于回
购股份注销,完成暨股份,变动的公,告》（公告,编号：2019-023）。,
采用集中竞,价方式减持,回购股份,的实施进展,情况,
□ 适用 √,不适用,,,,
股份变动对,最近一年和,最近一期,基本每股收,益和稀释每股收益、归属,于公司普通股股东的
每股净资产,等财务指标,的影响,,,
□ 适用 √,不适用,,,,
公司认为必,要或证券监,管机构要,求披露的其,他内容,
□ 适用 √,不适用,,,,
2、限售股,份变动情况,,,,
√ 适用 □,不适用,,,,
,,,,,单位：股
股东名称,期初限售股,本期增加限,本期解除限,期末限售股,解除限售日期
股东名称,期初限售股,本期增加限,本期解除限,限售原因,解除限售日期
,数,售股数,售股数,数,
,,,,,自2016年12月23日起满
,,,,,12个月后，满足解除限售
,,,,,条件的，可以在未来36个
李 娜,"67,600","-22,600","22,500","22,500 股权激励限售",月内按1/3、1/3、1/3的比
,,,,,例分三期解除限售；解除限
,,,,,售后的股份再按照高管锁
,,,,,定股的规定解除限售。
王凯旭,"56,400","-33,800","11,300","11,300 股权激励限售",同上
