项目,列2,"56,400","-33,800","11,300","11,300_2",股权激励限售,同上,列9,列10,列11,列12,列13,列14
庞贵忠,,"180,000","-135,000","22,500","22,500",股权激励限售,同上,,,,,,
张宁鹤,,"168,800","-123,800","22,500","22,500",股权激励限售,同上,,,,,,
李冰,,"301,546","-241,146","30,200","30,200",股权激励限售,同上,,,,,,
公司中层,管,,,,,股权激励限售,自201,6年,12,月2,3日,起,满
理人员和,核,,,,,股权激励限售,12个月,后，,满,足解,除,限,售
心骨干（,22,"3,107,340","-2,195,734","482,853","428,753",,条件的,，可,以,在未,来,36,个
人）,22,"3,107,340","-2,195,734","482,853","428,753",,月内按,1/3,、1/,3、,1/3,的,比
,22,"3,107,340","-2,195,734","482,853","428,753",,例分三,期解,除,限售,。,,
公司中层,管,,,,,股权激励限售,自201,7年,9月,15,日,起,满
理人员和,核,,,,,股权激励限售,12个月,后，,满,足解,除,限,售
心骨干（,1,"39,400","-30,400","4,500","4,500",,条件的,，可,以,在未,来,24,个
人）,1,"39,400","-30,400","4,500","4,500",,月内按,50%,、5,0%,的比,例,分
,1,"39,400","-30,400","4,500","4,500",,二期解,除限,售,。,,,
合计,,"3,977,486","-2,816,280","607,653","553,553",--,,,--,,,,
