项目,"79,706,590",59,",340,000","20,366,590",列6
境内自然,"79,120,000",59,",340,000","19,780,000 质押","22,000,000"
陈希 9.90%,"79,120,000",59,",340,000","19,780,000 质押","22,000,000"
人,"79,120,000",59,",340,000","19,780,000 质押","22,000,000"
EAST JOY ASIA,"72,000,000",,0,"72,000,000",
境外法人 9.01%,"72,000,000",,0,"72,000,000",
LIMITED,"72,000,000",,0,"72,000,000",
CHAMP DAY,"72,000,000",,0,"72,000,000",
INVESTMENT 境外法人 9.01%,"72,000,000",,0,"72,000,000",
LIMITED,"72,000,000",,0,"72,000,000",
SUPER SMART,"72,000,000",,0,"72,000,000",
HOLDINGS 境外法人 9.01%,"72,000,000",,0,"72,000,000",
LIMITED,"72,000,000",,0,"72,000,000",
境内自然,"68,800,000",51,",600,000","17,200,000",
贾岭达 8.61%,"68,800,000",51,",600,000","17,200,000",
人,"68,800,000",51,",600,000","17,200,000",
中国农业银行股份,"18,486,713",,0,"18,486,713",
有限公司－交银施 境内非国,"18,486,713",,0,"18,486,713",
2.31%,"18,486,713",,0,"18,486,713",
罗德成长混合型证 有法人,"18,486,713",,0,"18,486,713",
券投资基金,"18,486,713",,0,"18,486,713",
中国建设银行股份,"15,277,326",,0,"15,277,326",
有限公司－交银施 境内非国,"15,277,326",,0,"15,277,326",
1.91%,"15,277,326",,0,"15,277,326",
罗德蓝筹混合型证 有法人,"15,277,326",,0,"15,277,326",
券投资基金,"15,277,326",,0,"15,277,326",
上海明河投资管理,"11,750,000",,0,"11,750,000",
有限公司－明河成 境内非国,"11,750,000",,0,"11,750,000",
1.47%,"11,750,000",,0,"11,750,000",
长2号私募证券投 有法人,"11,750,000",,0,"11,750,000",
资基金,"11,750,000",,0,"11,750,000",
1、公司前,十名股东中，陈,泽民、,陈南、陈希,、贾岭达为公司实,际控制人；
EAST JOY,十名股东中，陈,泽民、,陈南、陈希,、贾岭达为公司实,际控制人；
LIMITED,十名股东中，陈,泽民、,陈南、陈希,、贾岭达为公司实,际控制人；
INVESTM,十名股东中，陈,泽民、,陈南、陈希,、贾岭达为公司实,际控制人；
,ASIA LIMITED,的股东,为SUPER,SMART HOLDING,S
,和CHAMP DAY,INVES,TMENT L,IMITED，CHAMP,DAY
,ENT LIMITED的,股东,为SUPER S,MART HOLDINGS,LIMITED
上述股东关联关系或一致行动 和EAST J,OY ASIA LIMITE,D，S,UPER SMA,RT HOLDINGS LI,MITED的
的说明 股东为贾岭,达、陈南、张玲,、陈希,、李冬雨,；陈泽民先生和贾,岭达女士为
夫妻关系，,陈南先生、陈希,先生为,陈泽民先,生之子，陈南先生,和张玲女士
为夫妻关系,陈南先生、陈希,先生为,陈泽民先,生之子，陈南先生,和张玲女士
之间是否存,陈南先生、陈希,先生为,陈泽民先,生之子，陈南先生,和张玲女士
办法》中规,陈南先生、陈希,先生为,陈泽民先,生之子，陈南先生,和张玲女士
,，陈希先生和李,冬雨,女士为夫妻,关系；2、公司未知,其他股东
,在关联关系，是,否属于,《上市公,司股东持股变动信,息披露管理
,定的一致行动人,。,,,
前10,名无限售条件股,东持股,情况,,
,,,,股份种类,
股东名称 报告期,末持有无限售条,件股,份数量,,
,,,,股份种类,数量
EAST JOY ASIA LIMITED,,,"72,000,000",人民币普通股,"72,000,000"
CHAMP DAY INVESTMENT,,,"72,000,000",人民币普通股,"72,000,000"
LIMITED,,,"72,000,000",人民币普通股,"72,000,000"
SUPER SMART HOLDINGS,,,"72,000,000",人民币普通股,"72,000,000"
LIMITED,,,"72,000,000",人民币普通股,"72,000,000"
