项目,列2,"21,069,647",人民币普通股,"21,069,647_2"
陈南,,"20,366,590",人民币普通股,"20,366,590"
陈希,,"19,780,000",人民币普通股,"19,780,000"
中国农业银行股份有限公司－,,"18,486,713",,
交银施罗德成长混合型证券投,,"18,486,713",,
资基金,,"18,486,713",,
,,,人民币普通股,"18,486,713"
贾岭达,,"17,200,000",人民币普通股,"17,200,000"
中国建设银行股份有限公司－,,"15,277,326",,
交银施罗德蓝筹混合型证券投,,"15,277,326",,
资基金,,"15,277,326",,
,,,人民币普通股,"15,277,326"
上海明河投资管理有限公司－,,"11,750,000",,
明河成长2号私募证券投资基,,"11,750,000",,
金,,"11,750,000",,
,,,人民币普通股,"11,750,000"
1、公司,前十名股,东中，陈泽民、陈南、陈希,、贾岭达为公司实,际控制人
EAST JO,前十名股,东中，陈泽民、陈南、陈希,、贾岭达为公司实,际控制人
LIMITED,前十名股,东中，陈泽民、陈南、陈希,、贾岭达为公司实,际控制人
,Y ASIA,LIMITED的股东为SUPER,SMART HOLDING,S
,和CH,AMP DAY INVESTMENT LI,MITED，CHAMP,DAY
前10名无限售流通股股东之 INVEST,MENT L,IMITED的股东为SUPER S,MART HOLDINGS,LIMITED
间，以及前10名无限售流通股和EAST,JOY AS,IA LIMITED，SUPER SMA,RT HOLDINGS LI,MITED的
股东和前10名股东之间关联 股东为贾,岭达、,陈南、张玲、陈希、李冬雨,；陈泽民先生和贾,岭达女士为
关系或一致行动的说明 夫妻关系,，陈南,先生、陈希先生为陈泽民先,生之子，陈南先生,和张玲女士
为夫妻关,系，陈,希先生和李冬雨女士为夫妻,关系；2、公司未知,其他股东
之间是否,系，陈,希先生和李冬雨女士为夫妻,关系；2、公司未知,其他股东
办法》中,系，陈,希先生和李冬雨女士为夫妻,关系；2、公司未知,其他股东
,存在关,联关系，是否属于《上市公,司股东持股变动信,息披露管理
,规定的,一致行动人。,,
公司前10名普通股股东、前 10名,无限售,条件普通股股东在报告期,内是否进行约定,购回交
易,限售条,件普通股股东在报告期,内未进行约定购,回交易。
□ 是 √ 否,,,,
公司前 10名普通股股东、前 10名无,,,,
2、公司控股股东情况,,,,
控股股东性质：自然人控股,,,,
控股股东类型：自然人,,,,
控股股东姓名,国籍,是否取,得其他国家或地区居,留权
陈泽民 中国,,否,,
贾岭达 中国,,否,,
陈南 中国,,否,,
陈希 中国,,否,,
陈泽民先生，中国,"1,943",,大学学历。陈泽民,先生是第十
届、第十一届、第,"1,943",,大学学历。陈泽民,先生是第十
,十二届,全国人大代表，中国食品科,学技术学会冷冻冷,藏学会副会
长兼秘书长、河南,省速冻,食品工程技术研究中心主任,；“改革开放40周,年百名杰出
主要职业及职务,食品工,业突出贡献奖获得者 、 中,国光彩事业先进个人,、 首届
民营企业家 中国,,,,
