项目,列2,列3,2019,列5
,,目录,,
第一节 重要提示,、目录和释义 ..................,..........................,..........................................................,.. 6
第二节 公司简介,和主要财务指标 ..............,..........................,..........................................................,10
第三节 公司业务,概要 ..................................,..........................,..........................................................,13
第四节 经营情况,讨论与分析 ......................,..........................,..........................................................,24
第五节 重要事项,..........................................,..........................,..........................................................,39
第六节 股份变动,及股东情况 ......................,..........................,..........................................................,48
第七节 优先股相,关情况 ..............................,..........................,..........................................................,48
第八节 可转换公,司债券相关情况 ..............,..........................,..........................................................,48
第九节 董事、监,事、高级管理人员和员工,情况 ................,..........................................................,49
第十节 公司治理,..........................................,..........................,..........................................................,50
第十一节 公司债,券相关情况 ......................,..........................,..........................................................,58
第十二节 财务报,告 ......................................,..........................,..........................................................,63
第十三节 备查文,件目录 ..............................,..........................,..........................................................,64
