项目,"理、董事
会秘书",月18日,月30日,列5,列6,列7
李冰,副总经,2019年05,2022年05,"271,346","-241,146","30,200"
李冰,现任 男 43,2019年05,2022年05,"271,346","-241,146","30,200"
李冰,理,2019年05,2022年05,"271,346","-241,146","30,200"
,,月30日,月30日,,,
许江营,副总经,2001年06,2019年05,"258,925","-112,600","146,325"
许江营,离任 男 46,2001年06,2019年05,"258,925","-112,600","146,325"
许江营,理,2001年06,2019年05,"258,925","-112,600","146,325"
,,月21日,月30日,,,
合计,-- -- -- --,--,--,"313,293,975 0 0","-702,746","312,591,229"
二、公,司董事、监事、高级管理,人员变动,情况,,,
√ 适用,□ 不适用,人员变动,情况,,,
姓名,担任的职务 类,型,日期,,原因,
许江营,副总经理 任期满离,任 2019,年05月30,日 任期届满,,
李冰,副总经理 任免,2019,年05月30,日 聘任副总经理,,
