项目,河南新矢量实业有限公司,法定代表人、执行董事兼,20,15,年,12
法定代表人、执行董事兼2015年12,,,,,,
,,总经理,月,10,日,
臧冬斌,河南财经政法大学,教授,"2,010",,年,04
,,,月,01,日,
,河南财经政法大学,教师,"2,010",,年,03
,,,月,01,日,
郝秀琴,河南大有能源股份有限公司,独立董事,"2,016",,年,09
,,,月,01,日,
,洛阳兰迪玻璃机器股份有限公司,独立董事,"2,017",,年,06
,,,月,01,日,
,三全鲜食（北京）科技股份有限公,董事,"2,015",,年,05
,司,,月,18,日,
王凯旭,佛山全瑞食品有限公司,法定代表人、执行董事、,"2,013",,年,04
,,经理,月,09,日,
,广州三全食品有限公司,法定代表人、执行董事兼,"2,004",,年,08
,广州三全食品有限公司,总经理,月,16,日,08
李鸿凯,锅圈供应链（上海）有限公司,董事,"2,019",,年,10
,,,月,16,日,
朱文丽,三全融合（北京）商贸有限公司,法定代表人、执行董事,"2,015",,年,09
,,,月,17,日,
,南昌三全食品有限公司,法定代表人、执行董事,"2,007",,年,07
,,,月,10,日,
张宁鹤,三全食品（苏州）有限公司,董事,"2,007",,年,03
,,,月,15,日,
,武汉全致食品有限公司,法定代表人、执行董事兼,"2,019",,年,01
,,总经理,月,04,日,
