项目,"从公司获得
任职状态
前报酬总",的税,是否在公,司关
,,额,联方获取,报酬
陈南 董事长 男 50,现任,50,否,
贾岭达 副董事长 女 75,现任,45,否,
陈泽民 董事 男 76,现任,20,否,
陈希 总经理、董事 男 46,现任,45,否,
张雷 董事 男 56,现任,0,否,
李娜 董事、财务总监 女 49,现任,40,否,
臧冬斌 独立董事 男 46,现任,5,否,
沈祥坤 独立董事 男 61,现任,5,否,
郝秀琴 独立董事 女 49,现任,5,否,
李玉 监事会主席 女 49,现任,6,否,
李涵 监事 女 42,现任,4.5,否,
庞德红 监事 女 44,现任,5,否,
王凯旭 副总经理 男 41,现任,40,否,
张宁鹤 副总经理 男 45,现任,40,否,
朱文丽 副总经理 女 52,现任,40,否,
庞贵忠 副总经理 男 56,现任,40,否,
李鸿凯 副总经理、董事会秘书 男 45,现任,40,否,
李冰 副总经理 男 43,现任,40,否,
许江营 副总经理 男 46,离任,40,否,
合计 -- -- --,--,510.5,--,
公司董事、高级管理人员报告期内被授予的股权激励,情况,,,
□ 适用 √ 不适用,情况,,,
五、公司员工情况,情况,,,
1、员工数量、专业构成及教育程度,情况,,,
母公司在职员工的数量（人）,,,,"1,293"
主要子公司在职员工的数量（人）,,,,"5,492"
在职员工的数量合计（人）,,,,"6,785"
当期领取薪酬员工总人数（人）,,,,"6,785"
母公司及主要子公司需承担费用的离退休职工人数（人）,,,,24
专业构成,,,,
专业构成类别,专业构成人数,（人,）,
生产人员,,,,"2,023"
