项目,列2,列3,列4,列5,列6,2019
,,,,释义,,
本公司、三全食品,释义项,指,三,全食品股份有限公司,，三全,释义内容
郑州三全、有限公,司,指,郑,州三全食品有限公司,控股子,食品整体变更前存续公司
子公司,,指,三,全食品全资子公司或,控股子,公司
孙公司,,指,三,全食品全资子公司或,孙公司,公司控股的公司
公司,,指,三,全食品及其子公司、,郑州三,的其中一家或多家的组合
三全食品厂,,指,郑,州市三全食品厂，为,，为三,全前身
河南全惠,,指,河,南全惠食品有限公司,，为三,全食品的全资子公司
成都全益,,指,成,都全益食品有限公司,，为三,全食品的全资子公司
天津全津,,指,天,津全津食品有限公司,，为三,全食品的全资子公司
郑州全新,,指,郑,州全新食品有限公司,，为三,全食品的控股子公司
南京三全,,指,南,京三全食品有限公司,，为三,全食品的全资子公司
广州三全,,指,广,州三全食品有限公司,司，为,全食品的全资子公司
哈尔滨三全,,指,哈,尔滨三全食品有限公,，为三,三全食品的全资子公司
沈阳三全,,指,沈,阳三全食品有限公司,，为三,全食品的全资子公司
长春三全,,指,长,春三全食品有限公司,，为三,全食品的全资子公司
济南三全,,指,济,南三全食品有限公司,，为三,全食品的全资子公司
福州三全,,指,福,州三全食品有限公司,，为三,全食品的全资子公司
武汉三全,,指,武,汉三全商贸有限公司,,全食品的全资子公司
,,指,,,,
