项目,列2,列3
长期应收款,,
长期股权投资,"49,559,950.38","222,281.18"
其他权益工具投资,,
其他非流动金融资产,"40,000.00",
投资性房地产,,
固定资产,"1,675,536,007.97","1,648,844,313.59"
在建工程,"94,297,550.69","154,103,301.70"
生产性生物资产,,
油气资产,,
使用权资产,,
无形资产,"216,993,092.72","211,295,492.58"
开发支出,,
商誉,"16,059,125.24","20,822,825.24"
长期待摊费用,,
递延所得税资产,"87,835,985.73","65,234,390.89"
其他非流动资产,"44,440,291.45","43,346,127.09"
动资产合计,"2,184,762,004.18","2,143,878,732.27"
总计,"5,283,219,785.78","4,609,685,059.47"
负债：,,
短期借款,"70,070,000.00","70,000,000.00"
向中央银行借款,,
拆入资金,,
交易性金融负债,,
以公允价值计量且其变动计入当期损益的金融负债,,
衍生金融负债,,
应付票据,"40,000,000.00","83,300,000.00"
应付账款,"1,283,229,464.64","1,156,003,816.81"
预收款项,"837,628,396.20","626,153,307.54"
合同负债,,
卖出回购金融资产款,,
吸收存款及同业存放,,
代理买卖证券款,,
代理承销证券款,,
应付职工薪酬,"160,962,645.40","114,328,150.36"
应交税费,"70,764,746.85","61,181,797.99"
其他应付款,"244,847,079.51","228,774,299.66"
其中：应付利息,,"290,604.17"
应付股利,"49,465.05","133,649.45"
应付手续费及佣金,,
应付分保账款,,
持有待售负债,"132,616,723.58",
一年内到期的非流动负债,"30,183,333.34",
