项目,保户储金及投资款净增加额,列3,列4
,收取利息、手续费及佣金的现金,,
,拆入资金净增加额,,
,回购业务资金净增加额,,
,代理买卖证券收到的现金净额,,
,收到的税费返还,"54,171,509.15","40,035,805.05"
,收到其他与经营活动有关的现金,"178,177,970.16","119,191,296.57"
经营,活动现金流入小计,"6,908,174,977.79","6,224,177,566.40"
,购买商品、接受劳务支付的现金,"4,250,810,440.78","3,413,193,232.06"
,客户贷款及垫款净增加额,,
,存放中央银行和同业款项净增加,,
额,支付原保险合同赔付款项的现金,,
,拆出资金净增加额,,
,支付利息、手续费及佣金的现金,,
,支付保单红利的现金,,
,支付给职工以及为职工支付的现,,
金,支付的各项税费,"1,068,284,206.20","981,434,820.30"
金,支付的各项税费,"342,300,224.05","423,725,966.74"
,支付其他与经营活动有关的现金,"855,389,749.16","916,710,880.10"
经营,活动现金流出小计,"6,516,784,620.19","5,735,064,899.20"
经营,活动产生的现金流量净额,"391,390,357.60","489,112,667.20"
二、,投资活动产生的现金流量：,,
,收回投资收到的现金,"171,543,300.00","580,000,000.00"
长期,取得投资收益收到的现金,"6,666,063.43","8,788,354.26"
长期,处置固定资产、无形资产和其他,"10,184,092.00","13,035,239.95"
长期,资产收回的现金净额,,
的现,处置子公司及其他营业单位收到,"1,000,000.00","8,790,413.00"
的现,金净额,"1,000,000.00","8,790,413.00"
的现,收到其他与投资活动有关的现金,"1,000,000.00","8,790,413.00"
投资,活动现金流入小计,"189,393,455.43","610,614,007.21"
投资,购建固定资产、无形资产和其他,"189,393,455.43","610,614,007.21"
长期,资产支付的现金,"226,509,321.24","386,951,400.67"
长期,投资支付的现金,"520,275,000.00","540,000,000.00"
,质押贷款净增加额,,
,取得子公司及其他营业单位支付,,
的现,金净额,,
的现,支付其他与投资活动有关的现金,,
投资,活动现金流出小计,"746,784,321.24","926,951,400.67"
投资,活动产生的现金流量净额,"-557,390,865.81","-316,337,393.46"
三、,筹资活动产生的现金流量：,,
,吸收投资收到的现金,,
,其中：子公司吸收少数股东投资,,
收到,的现金,"140,000,000.00","70,000,000.00"
收到,取得借款收到的现金,"140,000,000.00","70,000,000.00"
