项目,2019年度,2018年度
一、经营活动产生的现金流量：,,
销售商品、提供劳务收到的现金,"3,412,853,658.95","2,283,785,926.06"
收到的税费返还,,
收到其他与经营活动有关的现金,"111,801,928.60","11,731,665.76"
经营活动现金流入小计,"3,524,655,587.55","2,295,517,591.82"
购买商品、接受劳务支付的现金,"2,634,619,465.07","1,649,817,823.75"
支付给职工以及为职工支付的现,,
金,"200,994,982.73","189,682,225.27"
支付的各项税费,"52,209,476.24","59,961,712.67"
支付其他与经营活动有关的现金,"283,939,023.26","270,233,260.32"
经营活动现金流出小计,"3,171,762,947.30","2,169,695,022.01"
经营活动产生的现金流量净额,"352,892,640.25","125,822,569.81"
二、投资活动产生的现金流量：,,
收回投资收到的现金,"171,225,000.00","580,000,000.00"
取得投资收益收到的现金,"6,666,063.43","58,788,354.26"
处置固定资产、无形资产和其他,,
长期资产收回的现金净额,"46,266,545.73","41,759,183.09"
处置子公司及其他营业单位收到,,
的现金净额,,
收到其他与投资活动有关的现金,"215,928.44","8,790,413.00"
投资活动现金流入小计,"224,373,537.60","689,337,950.35"
购建固定资产、无形资产和其他,,
长期资产支付的现金,"91,611,867.27","90,723,788.18"
投资支付的现金,"549,500,000.00","552,105,205.00"
取得子公司及其他营业单位支付,,
的现金净额,,
