项目,年,年_2,本年比上年,年_3
,2019,2018,增减,2017
营业收入（元）,"5,985,722,254.07","5,539,316,059.52",8.06%,"5,255,871,627.52"
归属于上市公司股东的净利润（元）,"220,021,103.27","101,902,173.25",115.91%,"72,019,165.77"
归属于上市公司股东的扣除非经常,,,,
性损益的净利润（元）,"194,670,280.86","68,998,070.31",182.14%,"43,157,568.74"
经营活动产生的现金流量净额（元）,"391,390,357.60","489,112,667.20",-19.98%,"358,781,117.44"
基本每股收益（元/股）,0.27,0.13,107.69%,0.09
稀释每股收益（元/股）,0.27,0.13,107.69%,0.09
加权平均净资产收益率,10.20%,4.99%,5.21%,3.69%
,年末,年末,本年末比上,年末
,2019,2018,年末增减,2017
总资产（元）,"5,283,219,785.78","4,609,685,059.47",14.61%,"4,362,465,738.29"
归属于上市公司股东的净资产（元）,"2,228,776,090.81","2,062,694,258.21",8.05%,"1,998,261,573.00"
