项目,9.08,"1,133,506",",123.59","1,167,8","60,775.05","1,775,732,326.35"
八、分季度主要财务指标,,,,,,
"归属于上市公司股东的净利润 40,176,09",0.27,"48,592",",151.95","27,8","23,384.47","103,429,476.58"
归属于上市公司股东的扣除非经,0.27,"48,592",",151.95","27,8","23,384.47","103,429,476.58"
"36,227,73",7.23,"38,194",",677.67","12,2","30,202.03","108,017,663.93"
常性损益的净利润,8.47,"-45,476",",171.09","134,4","86,519.55","572,141,897.61"
"经营活动产生的现金流量净额 -269,761,88",,,,,,
上述财务指标或其加总数是否与公司已,披露季,度报告,、半年度,报告相,关财务指,标存在重大
差异,披露季,度报告,、半年度,报告相,关财务指,单位：元
□ 是 √ 否,披露季,度报告,、半年度,报告相,关财务指,
九、非经常性损益项目及金额,披露季,度报告,、半年度,报告相,关财务指,
√ 适用 □ 不适用,披露季,度报告,、半年度,报告相,关财务指,
项目 2,019年金,额,2018年金,额,2017 年金额,说明
非流动资产处置损益（包括已计提,"-1,487,7",77.93,,,,36
资产减值准备的冲销部分）,"-1,487,7",77.93,,,,36
,,,"-1,559,01",2.80,"-198,151.",
计入当期损益的政府补助（与企业,"33,331,4",78.51,,,,77
业务密切相关，按照国家统一标准,"33,331,4",78.51,,,,77
定额或定量享受的政府补助除外）,"33,331,4",78.51,,,,77
,,,"21,172,42",6.85,"15,150,499.",
计入当期损益的对非金融企业收取,,,,,,00
的资金占用费,,,,,,00
,,,"790,41",3.00,"960,000.",
委托他人投资或管理资产的损益,"1,452,0",54.03,"8,788,35",4.26,"5,175,020.",55
单独进行减值测试的应收款项、合,,,,,,
同资产减值准备转回,,,,,,
,,,"630,73",3.11,,
除上述各项之外的其他营业外收入,"-374,0",76.37,,,,59
和支出,"-374,0",76.37,,,,59
,,,"4,132,44",8.96,"8,295,126.",
减：所得税影响额,"7,574,4",44.51,"1,048,84",4.41,"516,293.",27
少数股东权益影响额（税后）,"-3,5",88.68,"2,41",6.03,"4,605.",25
合计,"25,350,8",22.41,"32,904,10",2.94,"28,861,597.",03 --
